
-----------------------------------------------------------------
Starting new training run
-----------------------------------------------------------------

-----------------------------------------------------------------
Starting new training run
-----------------------------------------------------------------
[2019-03-10 22:38:28.531]  Initialized Tacotron model. Dimensions: 
[2019-03-10 22:38:53.579]  Step      18 [0.436 sec/step, loss = 0.84131 (mel : 0.34925 + lin : 0.49205)]
[2019-03-10 22:38:55.143]  Step      19 [1.564 sec/step, loss = 0.84320 (mel : 0.35170 + lin : 0.49150)]
[2019-03-10 22:38:56.342]  Step      20 [1.199 sec/step, loss = 0.85442 (mel : 0.35530 + lin : 0.49912)]
[2019-03-10 22:38:58.697]  Step      21 [2.355 sec/step, loss = 0.84124 (mel : 0.34412 + lin : 0.49711)]
[2019-03-10 22:39:00.044]  Step      22 [1.347 sec/step, loss = 0.83655 (mel : 0.34455 + lin : 0.49199)]
[2019-03-10 22:39:02.604]  Step      23 [2.560 sec/step, loss = 0.82127 (mel : 0.33252 + lin : 0.48876)]
[2019-03-10 22:39:04.576]  Step      24 [1.972 sec/step, loss = 0.81391 (mel : 0.33023 + lin : 0.48368)]
[2019-03-10 22:39:04.951]  Step      25 [0.375 sec/step, loss = 0.82086 (mel : 0.32882 + lin : 0.49204)]
[2019-03-10 22:39:05.391]  Step      26 [0.441 sec/step, loss = 0.80708 (mel : 0.32451 + lin : 0.48257)]
[2019-03-10 22:39:05.839]  Step      27 [0.448 sec/step, loss = 0.80863 (mel : 0.32283 + lin : 0.48580)]
[2019-03-10 22:39:06.298]  Step      28 [0.459 sec/step, loss = 0.79939 (mel : 0.31939 + lin : 0.48000)]
[2019-03-10 22:39:06.696]  Step      29 [0.397 sec/step, loss = 0.81482 (mel : 0.32380 + lin : 0.49101)]
[2019-03-10 22:39:07.162]  Step      30 [0.467 sec/step, loss = 0.79367 (mel : 0.31563 + lin : 0.47804)]
[2019-03-10 22:39:10.103]  Step      31 [2.941 sec/step, loss = 0.80720 (mel : 0.31672 + lin : 0.49049)]
[2019-03-10 22:39:10.678]  Step      32 [0.575 sec/step, loss = 0.79382 (mel : 0.31237 + lin : 0.48145)]
[2019-03-10 22:39:11.199]  Step      33 [0.521 sec/step, loss = 0.78590 (mel : 0.30387 + lin : 0.48203)]
[2019-03-10 22:39:13.944]  Step      34 [2.745 sec/step, loss = 0.78927 (mel : 0.30658 + lin : 0.48268)]
[2019-03-10 22:39:14.422]  Step      35 [0.478 sec/step, loss = 0.78223 (mel : 0.30249 + lin : 0.47974)]
[2019-03-10 22:39:17.517]  Step      36 [3.095 sec/step, loss = 0.77799 (mel : 0.29972 + lin : 0.47827)]
[2019-03-10 22:39:18.039]  Step      37 [0.523 sec/step, loss = 0.78549 (mel : 0.30339 + lin : 0.48210)]
[2019-03-10 22:39:18.480]  Step      38 [0.441 sec/step, loss = 0.76927 (mel : 0.29359 + lin : 0.47567)]
[2019-03-10 22:39:19.000]  Step      39 [0.520 sec/step, loss = 0.76085 (mel : 0.29021 + lin : 0.47064)]
[2019-03-10 22:39:19.486]  Step      40 [0.486 sec/step, loss = 0.77352 (mel : 0.29484 + lin : 0.47868)]
[2019-03-10 22:39:22.565]  Step      41 [3.078 sec/step, loss = 0.76729 (mel : 0.29046 + lin : 0.47683)]
[2019-03-10 22:39:25.654]  Step      42 [3.090 sec/step, loss = 0.76283 (mel : 0.28781 + lin : 0.47503)]
[2019-03-10 22:39:26.115]  Step      43 [0.461 sec/step, loss = 0.75289 (mel : 0.28273 + lin : 0.47016)]
[2019-03-10 22:39:29.267]  Step      44 [3.151 sec/step, loss = 0.75615 (mel : 0.28475 + lin : 0.47140)]
[2019-03-10 22:39:32.350]  Step      45 [3.084 sec/step, loss = 0.74204 (mel : 0.27663 + lin : 0.46540)]
[2019-03-10 22:39:32.892]  Step      46 [0.541 sec/step, loss = 0.73111 (mel : 0.27297 + lin : 0.45814)]
[2019-03-10 22:39:35.541]  Step      47 [2.649 sec/step, loss = 0.72757 (mel : 0.26978 + lin : 0.45779)]
[2019-03-10 22:39:38.662]  Step      48 [3.120 sec/step, loss = 0.71904 (mel : 0.26796 + lin : 0.45108)]
[2019-03-10 22:39:39.203]  Step      49 [0.541 sec/step, loss = 0.72183 (mel : 0.26794 + lin : 0.45390)]
[2019-03-10 22:39:39.773]  Step      50 [0.570 sec/step, loss = 0.72042 (mel : 0.26696 + lin : 0.45346)]
[2019-03-10 22:39:42.780]  Step      51 [3.007 sec/step, loss = 0.70241 (mel : 0.26006 + lin : 0.44235)]
[2019-03-10 22:39:45.952]  Step      52 [3.172 sec/step, loss = 0.70226 (mel : 0.26012 + lin : 0.44214)]
[2019-03-10 22:39:49.051]  Step      53 [3.099 sec/step, loss = 0.69610 (mel : 0.25535 + lin : 0.44074)]
[2019-03-10 22:39:49.789]  Step      54 [0.738 sec/step, loss = 0.69379 (mel : 0.25504 + lin : 0.43875)]
[2019-03-10 22:39:53.103]  Step      55 [3.314 sec/step, loss = 0.68918 (mel : 0.25326 + lin : 0.43592)]
[2019-03-10 22:39:53.847]  Step      56 [0.744 sec/step, loss = 0.67980 (mel : 0.25095 + lin : 0.42886)]
[2019-03-10 22:39:54.488]  Step      57 [0.640 sec/step, loss = 0.67477 (mel : 0.25040 + lin : 0.42437)]
[2019-03-10 22:39:55.232]  Step      58 [0.745 sec/step, loss = 0.66952 (mel : 0.24604 + lin : 0.42347)]
[2019-03-10 22:39:58.330]  Step      59 [3.098 sec/step, loss = 0.65560 (mel : 0.24185 + lin : 0.41375)]
[2019-03-10 22:40:01.391]  Step      60 [3.061 sec/step, loss = 0.65471 (mel : 0.24132 + lin : 0.41339)]
[2019-03-10 22:40:02.004]  Step      61 [0.613 sec/step, loss = 0.64549 (mel : 0.23885 + lin : 0.40664)]
[2019-03-10 22:40:02.525]  Step      62 [0.521 sec/step, loss = 0.64471 (mel : 0.23894 + lin : 0.40577)]
[2019-03-10 22:40:05.639]  Step      63 [3.114 sec/step, loss = 0.63802 (mel : 0.23578 + lin : 0.40223)]
[2019-03-10 22:40:06.138]  Step      64 [0.499 sec/step, loss = 0.63281 (mel : 0.23331 + lin : 0.39950)]
[2019-03-10 22:40:09.399]  Step      65 [3.261 sec/step, loss = 0.62328 (mel : 0.23170 + lin : 0.39158)]
[2019-03-10 22:40:09.951]  Step      66 [0.552 sec/step, loss = 0.61336 (mel : 0.22782 + lin : 0.38554)]
[2019-03-10 22:40:10.591]  Step      67 [0.639 sec/step, loss = 0.61616 (mel : 0.23025 + lin : 0.38591)]
[2019-03-10 22:40:11.152]  Step      68 [0.561 sec/step, loss = 0.60503 (mel : 0.22742 + lin : 0.37761)]
[2019-03-10 22:40:14.534]  Step      69 [3.382 sec/step, loss = 0.59397 (mel : 0.22186 + lin : 0.37211)]
[2019-03-10 22:40:15.312]  Step      70 [0.778 sec/step, loss = 0.58755 (mel : 0.22067 + lin : 0.36688)]
[2019-03-10 22:40:18.456]  Step      71 [3.144 sec/step, loss = 0.57784 (mel : 0.21667 + lin : 0.36117)]
[2019-03-10 22:40:19.173]  Step      72 [0.717 sec/step, loss = 0.57534 (mel : 0.21809 + lin : 0.35725)]
[2019-03-10 22:40:22.258]  Step      73 [3.084 sec/step, loss = 0.57083 (mel : 0.21619 + lin : 0.35464)]
[2019-03-10 22:40:22.822]  Step      74 [0.564 sec/step, loss = 0.55682 (mel : 0.21135 + lin : 0.34548)]
[2019-03-10 22:40:23.494]  Step      75 [0.672 sec/step, loss = 0.54389 (mel : 0.20897 + lin : 0.33492)]
[2019-03-10 22:40:24.125]  Step      76 [0.631 sec/step, loss = 0.54797 (mel : 0.21048 + lin : 0.33749)]
[2019-03-10 22:40:24.768]  Step      77 [0.643 sec/step, loss = 0.53953 (mel : 0.20631 + lin : 0.33323)]
[2019-03-10 22:40:25.514]  Step      78 [0.746 sec/step, loss = 0.52948 (mel : 0.20325 + lin : 0.32623)]
[2019-03-10 22:40:28.723]  Step      79 [3.208 sec/step, loss = 0.52381 (mel : 0.20240 + lin : 0.32140)]
[2019-03-10 22:40:31.993]  Step      80 [3.271 sec/step, loss = 0.51348 (mel : 0.19914 + lin : 0.31434)]
[2019-03-10 22:40:32.676]  Step      81 [0.683 sec/step, loss = 0.51009 (mel : 0.19843 + lin : 0.31166)]
[2019-03-10 22:40:33.380]  Step      82 [0.704 sec/step, loss = 0.50588 (mel : 0.19753 + lin : 0.30835)]
[2019-03-10 22:40:36.720]  Step      83 [3.340 sec/step, loss = 0.49172 (mel : 0.19380 + lin : 0.29791)]
[2019-03-10 22:40:39.828]  Step      84 [3.108 sec/step, loss = 0.48932 (mel : 0.19453 + lin : 0.29479)]
[2019-03-10 22:40:40.499]  Step      85 [0.671 sec/step, loss = 0.47733 (mel : 0.19027 + lin : 0.28706)]
[2019-03-10 22:40:41.174]  Step      86 [0.675 sec/step, loss = 0.46987 (mel : 0.18846 + lin : 0.28140)]
[2019-03-10 22:40:44.472]  Step      87 [3.298 sec/step, loss = 0.46772 (mel : 0.18755 + lin : 0.28018)]
[2019-03-10 22:40:47.618]  Step      88 [3.146 sec/step, loss = 0.46072 (mel : 0.18691 + lin : 0.27381)]
[2019-03-10 22:40:50.826]  Step      89 [3.208 sec/step, loss = 0.45097 (mel : 0.18167 + lin : 0.26930)]
[2019-03-10 22:40:51.697]  Step      90 [0.871 sec/step, loss = 0.44697 (mel : 0.18140 + lin : 0.26557)]
[2019-03-10 22:40:54.732]  Step      91 [3.034 sec/step, loss = 0.43898 (mel : 0.17941 + lin : 0.25957)]
[2019-03-10 22:40:55.699]  Step      92 [0.968 sec/step, loss = 0.43175 (mel : 0.17812 + lin : 0.25363)]
[2019-03-10 22:40:56.494]  Step      93 [0.795 sec/step, loss = 0.42447 (mel : 0.17537 + lin : 0.24909)]
[2019-03-10 22:40:59.799]  Step      94 [3.305 sec/step, loss = 0.41679 (mel : 0.17323 + lin : 0.24356)]
[2019-03-10 22:41:03.134]  Step      95 [3.335 sec/step, loss = 0.40945 (mel : 0.17134 + lin : 0.23811)]
[2019-03-10 22:41:03.793]  Step      96 [0.659 sec/step, loss = 0.40458 (mel : 0.16862 + lin : 0.23597)]
[2019-03-10 22:41:04.432]  Step      97 [0.639 sec/step, loss = 0.40223 (mel : 0.16979 + lin : 0.23244)]
[2019-03-10 22:41:05.184]  Step      98 [0.751 sec/step, loss = 0.39366 (mel : 0.16708 + lin : 0.22658)]
[2019-03-10 22:41:05.826]  Step      99 [0.642 sec/step, loss = 0.39079 (mel : 0.16705 + lin : 0.22374)]
[2019-03-10 22:41:06.573]  Step     100 [0.748 sec/step, loss = 0.38525 (mel : 0.16571 + lin : 0.21954)]
[2019-03-10 22:41:07.220]  Step     101 [0.646 sec/step, loss = 0.37884 (mel : 0.16332 + lin : 0.21552)]
[2019-03-10 22:41:10.453]  Step     102 [3.233 sec/step, loss = 0.37241 (mel : 0.16134 + lin : 0.21107)]
[2019-03-10 22:41:11.294]  Step     103 [0.841 sec/step, loss = 0.36932 (mel : 0.16224 + lin : 0.20708)]
[2019-03-10 22:41:11.961]  Step     104 [0.667 sec/step, loss = 0.36440 (mel : 0.16152 + lin : 0.20288)]
[2019-03-10 22:41:15.153]  Step     105 [3.192 sec/step, loss = 0.35534 (mel : 0.15689 + lin : 0.19844)]
[2019-03-10 22:41:15.984]  Step     106 [0.831 sec/step, loss = 0.35058 (mel : 0.15612 + lin : 0.19446)]
[2019-03-10 22:41:19.249]  Step     107 [3.265 sec/step, loss = 0.34456 (mel : 0.15252 + lin : 0.19204)]
[2019-03-10 22:41:19.925]  Step     108 [0.675 sec/step, loss = 0.34111 (mel : 0.15317 + lin : 0.18794)]
[2019-03-10 22:41:20.702]  Step     109 [0.777 sec/step, loss = 0.33955 (mel : 0.15390 + lin : 0.18565)]
[2019-03-10 22:41:23.892]  Step     110 [3.190 sec/step, loss = 0.33482 (mel : 0.15251 + lin : 0.18232)]
[2019-03-10 22:41:24.650]  Step     111 [0.758 sec/step, loss = 0.32886 (mel : 0.15048 + lin : 0.17837)]
[2019-03-10 22:41:27.937]  Step     112 [3.287 sec/step, loss = 0.32683 (mel : 0.15072 + lin : 0.17611)]
[2019-03-10 22:41:28.746]  Step     113 [0.809 sec/step, loss = 0.32255 (mel : 0.14951 + lin : 0.17304)]
[2019-03-10 22:41:29.437]  Step     114 [0.691 sec/step, loss = 0.32118 (mel : 0.14939 + lin : 0.17180)]
[2019-03-10 22:41:32.632]  Step     115 [3.195 sec/step, loss = 0.31585 (mel : 0.14854 + lin : 0.16731)]
[2019-03-10 22:41:33.520]  Step     116 [0.888 sec/step, loss = 0.31339 (mel : 0.14962 + lin : 0.16377)]
[2019-03-10 22:41:34.299]  Step     117 [0.778 sec/step, loss = 0.30958 (mel : 0.14559 + lin : 0.16399)]
[2019-03-10 22:41:37.537]  Step     118 [3.239 sec/step, loss = 0.30812 (mel : 0.14659 + lin : 0.16153)]
[2019-03-10 22:41:40.872]  Step     119 [3.334 sec/step, loss = 0.30402 (mel : 0.14559 + lin : 0.15843)]
[2019-03-10 22:41:44.329]  Step     120 [3.458 sec/step, loss = 0.30009 (mel : 0.14510 + lin : 0.15499)]
[2019-03-10 22:41:47.920]  Step     121 [3.591 sec/step, loss = 0.29919 (mel : 0.14505 + lin : 0.15414)]
[2019-03-10 22:41:48.793]  Step     122 [0.873 sec/step, loss = 0.29661 (mel : 0.14320 + lin : 0.15341)]
[2019-03-10 22:41:49.799]  Step     123 [1.006 sec/step, loss = 0.29176 (mel : 0.14208 + lin : 0.14969)]
[2019-03-10 22:41:50.692]  Step     124 [0.892 sec/step, loss = 0.29143 (mel : 0.14229 + lin : 0.14914)]
[2019-03-10 22:41:51.567]  Step     125 [0.875 sec/step, loss = 0.29295 (mel : 0.14449 + lin : 0.14846)]
[2019-03-10 22:41:52.487]  Step     126 [0.920 sec/step, loss = 0.28774 (mel : 0.14253 + lin : 0.14521)]
[2019-03-10 22:41:55.852]  Step     127 [3.365 sec/step, loss = 0.28741 (mel : 0.14264 + lin : 0.14477)]
[2019-03-10 22:41:56.570]  Step     128 [0.718 sec/step, loss = 0.28686 (mel : 0.14395 + lin : 0.14291)]
[2019-03-10 22:41:57.405]  Step     129 [0.835 sec/step, loss = 0.28472 (mel : 0.14316 + lin : 0.14156)]
[2019-03-10 22:41:58.137]  Step     130 [0.731 sec/step, loss = 0.28324 (mel : 0.14296 + lin : 0.14027)]
[2019-03-10 22:41:58.873]  Step     131 [0.736 sec/step, loss = 0.27963 (mel : 0.13910 + lin : 0.14053)]
[2019-03-10 22:41:59.635]  Step     132 [0.762 sec/step, loss = 0.27672 (mel : 0.13992 + lin : 0.13680)]
[2019-03-10 22:42:00.590]  Step     133 [0.955 sec/step, loss = 0.27578 (mel : 0.13924 + lin : 0.13655)]
[2019-03-10 22:42:01.394]  Step     134 [0.804 sec/step, loss = 0.27526 (mel : 0.14060 + lin : 0.13466)]
[2019-03-10 22:42:02.215]  Step     135 [0.821 sec/step, loss = 0.27759 (mel : 0.14070 + lin : 0.13689)]
[2019-03-10 22:42:03.178]  Step     136 [0.963 sec/step, loss = 0.27664 (mel : 0.14221 + lin : 0.13443)]
[2019-03-10 22:42:06.521]  Step     137 [3.343 sec/step, loss = 0.27506 (mel : 0.14186 + lin : 0.13320)]
[2019-03-10 22:42:09.884]  Step     138 [3.363 sec/step, loss = 0.27362 (mel : 0.14208 + lin : 0.13154)]
[2019-03-10 22:42:10.839]  Step     139 [0.955 sec/step, loss = 0.27095 (mel : 0.14065 + lin : 0.13030)]
[2019-03-10 22:42:11.758]  Step     140 [0.919 sec/step, loss = 0.27153 (mel : 0.14086 + lin : 0.13067)]
[2019-03-10 22:42:12.881]  Step     141 [1.122 sec/step, loss = 0.26764 (mel : 0.13832 + lin : 0.12932)]
[2019-03-10 22:42:13.990]  Step     142 [1.109 sec/step, loss = 0.26706 (mel : 0.13886 + lin : 0.12819)]
[2019-03-10 22:42:15.248]  Step     143 [1.257 sec/step, loss = 0.26831 (mel : 0.13949 + lin : 0.12883)]
[2019-03-10 22:42:16.229]  Step     144 [0.982 sec/step, loss = 0.26632 (mel : 0.13852 + lin : 0.12781)]
[2019-03-10 22:42:19.776]  Step     145 [3.546 sec/step, loss = 0.26422 (mel : 0.13762 + lin : 0.12660)]
[2019-03-10 22:42:20.755]  Step     146 [0.979 sec/step, loss = 0.26611 (mel : 0.13962 + lin : 0.12649)]
[2019-03-10 22:42:21.631]  Step     147 [0.875 sec/step, loss = 0.26372 (mel : 0.13701 + lin : 0.12671)]
[2019-03-10 22:42:22.513]  Step     148 [0.882 sec/step, loss = 0.26277 (mel : 0.13782 + lin : 0.12496)]
[2019-03-10 22:42:23.388]  Step     149 [0.875 sec/step, loss = 0.26311 (mel : 0.13736 + lin : 0.12575)]
[2019-03-10 22:42:24.280]  Step     150 [0.892 sec/step, loss = 0.26167 (mel : 0.13792 + lin : 0.12374)]
[2019-03-10 22:42:25.048]  Step     151 [0.767 sec/step, loss = 0.26310 (mel : 0.13812 + lin : 0.12499)]
[2019-03-10 22:42:28.412]  Step     152 [3.365 sec/step, loss = 0.26119 (mel : 0.13647 + lin : 0.12472)]
[2019-03-10 22:42:29.417]  Step     153 [1.005 sec/step, loss = 0.25999 (mel : 0.13702 + lin : 0.12296)]
[2019-03-10 22:42:30.299]  Step     154 [0.882 sec/step, loss = 0.26062 (mel : 0.13720 + lin : 0.12341)]
[2019-03-10 22:42:33.312]  Step     155 [3.013 sec/step, loss = 0.25882 (mel : 0.13673 + lin : 0.12209)]
[2019-03-10 22:42:34.106]  Step     156 [0.794 sec/step, loss = 0.25894 (mel : 0.13616 + lin : 0.12278)]
[2019-03-10 22:42:35.013]  Step     157 [0.907 sec/step, loss = 0.25703 (mel : 0.13560 + lin : 0.12143)]
[2019-03-10 22:42:37.803]  Step     158 [2.790 sec/step, loss = 0.25974 (mel : 0.13738 + lin : 0.12236)]
[2019-03-10 22:42:38.695]  Step     159 [0.892 sec/step, loss = 0.25574 (mel : 0.13436 + lin : 0.12137)]
[2019-03-10 22:42:41.330]  Step     160 [2.635 sec/step, loss = 0.25783 (mel : 0.13596 + lin : 0.12188)]
[2019-03-10 22:42:42.240]  Step     161 [0.910 sec/step, loss = 0.26000 (mel : 0.13788 + lin : 0.12212)]
[2019-03-10 22:42:45.713]  Step     162 [3.473 sec/step, loss = 0.25652 (mel : 0.13477 + lin : 0.12175)]
[2019-03-10 22:42:46.625]  Step     163 [0.911 sec/step, loss = 0.25345 (mel : 0.13335 + lin : 0.12010)]
[2019-03-10 22:42:47.781]  Step     164 [1.156 sec/step, loss = 0.25850 (mel : 0.13735 + lin : 0.12114)]
[2019-03-10 22:42:49.064]  Step     165 [1.283 sec/step, loss = 0.25735 (mel : 0.13664 + lin : 0.12071)]
[2019-03-10 22:42:50.317]  Step     166 [1.253 sec/step, loss = 0.25633 (mel : 0.13588 + lin : 0.12044)]
[2019-03-10 22:42:51.524]  Step     167 [1.207 sec/step, loss = 0.25685 (mel : 0.13730 + lin : 0.11956)]
[2019-03-10 22:42:54.687]  Step     168 [3.162 sec/step, loss = 0.25336 (mel : 0.13373 + lin : 0.11963)]
[2019-03-10 22:42:55.866]  Step     169 [1.180 sec/step, loss = 0.25542 (mel : 0.13539 + lin : 0.12003)]
[2019-03-10 22:42:56.809]  Step     170 [0.943 sec/step, loss = 0.25202 (mel : 0.13265 + lin : 0.11937)]
[2019-03-10 22:42:57.739]  Step     171 [0.930 sec/step, loss = 0.25531 (mel : 0.13565 + lin : 0.11966)]
[2019-03-10 22:42:58.666]  Step     172 [0.927 sec/step, loss = 0.25441 (mel : 0.13451 + lin : 0.11989)]
[2019-03-10 22:42:59.751]  Step     173 [1.085 sec/step, loss = 0.25389 (mel : 0.13392 + lin : 0.11997)]
[2019-03-10 22:43:03.223]  Step     174 [3.472 sec/step, loss = 0.25264 (mel : 0.13433 + lin : 0.11830)]
[2019-03-10 22:43:04.170]  Step     175 [0.947 sec/step, loss = 0.25203 (mel : 0.13334 + lin : 0.11868)]
[2019-03-10 22:43:05.098]  Step     176 [0.928 sec/step, loss = 0.25327 (mel : 0.13358 + lin : 0.11969)]
[2019-03-10 22:43:06.376]  Step     177 [1.278 sec/step, loss = 0.25274 (mel : 0.13459 + lin : 0.11815)]
[2019-03-10 22:43:07.306]  Step     178 [0.931 sec/step, loss = 0.25312 (mel : 0.13388 + lin : 0.11924)]
[2019-03-10 22:43:09.677]  Step     179 [2.370 sec/step, loss = 0.25140 (mel : 0.13381 + lin : 0.11759)]
[2019-03-10 22:43:10.514]  Step     180 [0.838 sec/step, loss = 0.25183 (mel : 0.13322 + lin : 0.11862)]
[2019-03-10 22:43:11.471]  Step     181 [0.957 sec/step, loss = 0.25310 (mel : 0.13515 + lin : 0.11795)]
[2019-03-10 22:43:12.437]  Step     182 [0.966 sec/step, loss = 0.25000 (mel : 0.13228 + lin : 0.11772)]
[2019-03-10 22:43:13.383]  Step     183 [0.946 sec/step, loss = 0.25045 (mel : 0.13274 + lin : 0.11771)]
[2019-03-10 22:43:14.344]  Step     184 [0.961 sec/step, loss = 0.25037 (mel : 0.13295 + lin : 0.11742)]
[2019-03-10 22:43:16.241]  Step     185 [1.897 sec/step, loss = 0.25012 (mel : 0.13177 + lin : 0.11836)]
[2019-03-10 22:43:17.082]  Step     186 [0.841 sec/step, loss = 0.25312 (mel : 0.13530 + lin : 0.11783)]
[2019-03-10 22:43:17.934]  Step     187 [0.852 sec/step, loss = 0.24901 (mel : 0.13160 + lin : 0.11741)]
[2019-03-10 22:43:19.405]  Step     188 [1.471 sec/step, loss = 0.25144 (mel : 0.13372 + lin : 0.11772)]
[2019-03-10 22:43:20.469]  Step     189 [1.064 sec/step, loss = 0.24913 (mel : 0.13274 + lin : 0.11639)]
[2019-03-10 22:43:21.439]  Step     190 [0.970 sec/step, loss = 0.25149 (mel : 0.13528 + lin : 0.11621)]
[2019-03-10 22:43:22.401]  Step     191 [0.962 sec/step, loss = 0.25150 (mel : 0.13382 + lin : 0.11769)]
[2019-03-10 22:43:23.490]  Step     192 [1.089 sec/step, loss = 0.24929 (mel : 0.13331 + lin : 0.11597)]
[2019-03-10 22:43:26.020]  Step     193 [2.529 sec/step, loss = 0.24869 (mel : 0.13122 + lin : 0.11747)]
[2019-03-10 22:43:27.305]  Step     194 [1.286 sec/step, loss = 0.24812 (mel : 0.13160 + lin : 0.11653)]
[2019-03-10 22:43:29.548]  Step     195 [2.243 sec/step, loss = 0.24850 (mel : 0.13222 + lin : 0.11628)]
[2019-03-10 22:43:31.097]  Step     196 [1.548 sec/step, loss = 0.24891 (mel : 0.13222 + lin : 0.11669)]
[2019-03-10 22:43:32.201]  Step     197 [1.104 sec/step, loss = 0.24865 (mel : 0.13196 + lin : 0.11669)]
[2019-03-10 22:43:34.621]  Step     198 [2.420 sec/step, loss = 0.24929 (mel : 0.13226 + lin : 0.11703)]
[2019-03-10 22:43:35.769]  Step     199 [1.148 sec/step, loss = 0.24747 (mel : 0.13158 + lin : 0.11589)]
[2019-03-10 22:43:37.590]  Step     200 [1.821 sec/step, loss = 0.24826 (mel : 0.13267 + lin : 0.11559)]
[2019-03-10 22:43:38.481]  Step     201 [0.891 sec/step, loss = 0.24779 (mel : 0.13161 + lin : 0.11618)]
[2019-03-10 22:43:39.363]  Step     202 [0.881 sec/step, loss = 0.24687 (mel : 0.13126 + lin : 0.11561)]
[2019-03-10 22:43:40.463]  Step     203 [1.100 sec/step, loss = 0.24847 (mel : 0.13203 + lin : 0.11644)]
[2019-03-10 22:43:41.472]  Step     204 [1.009 sec/step, loss = 0.24629 (mel : 0.13135 + lin : 0.11494)]
[2019-03-10 22:43:42.481]  Step     205 [1.009 sec/step, loss = 0.24732 (mel : 0.13183 + lin : 0.11550)]
[2019-03-10 22:43:43.469]  Step     206 [0.988 sec/step, loss = 0.24432 (mel : 0.12936 + lin : 0.11495)]
[2019-03-10 22:43:44.476]  Step     207 [1.006 sec/step, loss = 0.24829 (mel : 0.13289 + lin : 0.11540)]
[2019-03-10 22:43:45.371]  Step     208 [0.895 sec/step, loss = 0.24697 (mel : 0.13122 + lin : 0.11576)]
[2019-03-10 22:43:46.264]  Step     209 [0.893 sec/step, loss = 0.24678 (mel : 0.13099 + lin : 0.11579)]
[2019-03-10 22:43:47.156]  Step     210 [0.892 sec/step, loss = 0.24753 (mel : 0.13196 + lin : 0.11557)]
[2019-03-10 22:43:48.261]  Step     211 [1.105 sec/step, loss = 0.24731 (mel : 0.13250 + lin : 0.11481)]
[2019-03-10 22:43:49.302]  Step     212 [1.041 sec/step, loss = 0.24758 (mel : 0.13147 + lin : 0.11611)]
[2019-03-10 22:43:50.405]  Step     213 [1.103 sec/step, loss = 0.24873 (mel : 0.13249 + lin : 0.11624)]
[2019-03-10 22:43:51.529]  Step     214 [1.124 sec/step, loss = 0.24592 (mel : 0.13249 + lin : 0.11344)]
